name,category,district,entrance_fee,accessibility,trekking_difficulty,description,image_path
Pasindu's Snorkeling Centre,attraction,Matara,0.0,Moderate,N/A,Pasindu's Snorkeling Centre located in Matara.,data/images/pasindus_snorkeling_centre.jpg
Pettah Floating Market,attraction,colombo,0.0,Moderate,N/A,Pettah Floating Market located in colombo.,data/images/pettah_floating_market.jpg
"Pitawala pathana , riverston",attraction,Matale,0.0,Moderate,N/A,"Pitawala pathana , riverston located in Matale.","data/images/pitawala_pathana_,_riverston.jpg"
Polonnaruwa,attraction,Polonnaruwa,0.0,Moderate,N/A,"Nearby Accommodation: GALKADAWALA FOREST LODGE (Bangalows), ROYAL GUEST HOUSE (Bangalows), THE DEER PARK HOTEL (Classified Hotels( 1-5 Star))",data/images/polonnaruwa.jpg
Porawagala Viewpoint,attraction,Badulla,0.0,Moderate,N/A,Porawagala Viewpoint located in Badulla.,data/images/porawagala_viewpoint.jpg
Pothgul Vihara,attraction,Rathnapura,0.0,Moderate,N/A,Pothgul Vihara located in Rathnapura.,data/images/pothgul_vihara.jpg
Prabhawa Mountain Day Viewpoint,attraction,Badulla,0.0,Moderate,N/A,Prabhawa Mountain Day Viewpoint located in Badulla.,data/images/prabhawa_mountain_day_viewpoint.jpg
Puttalam,attraction,Puttalam,0.0,Moderate,N/A,"Nearby Accommodation: C & I BEACH HOTEL (Boutique Villas), VILLA SUNBIRD (Bangalows), ST.ANNE S LAGOON HOUSE (Bangalows)",data/images/puttalam.jpg
Puwakpitiya Oya,attraction,Matale,0.0,Moderate,N/A,Puwakpitiya Oya located in Matale.,data/images/puwakpitiya_oya.jpg
Queen Viharamahadevi Statue,attraction,colombo,0.0,Moderate,N/A,Queen Viharamahadevi Statue located in colombo.,data/images/queen_viharamahadevi_statue.jpg
Rahas ella waterfalls,attraction,Matale,0.0,Moderate,N/A,Rahas ella waterfalls located in Matale.,data/images/rahas_ella_waterfalls.jpg
Raja & the Whales,attraction,Matara,0.0,Moderate,N/A,Raja & the Whales located in Matara.,data/images/raja_&_the_whales.jpg
Rajanawa Waterfall,attraction,Rathnapura,0.0,Moderate,N/A,Rajanawa Waterfall located in Rathnapura.,data/images/rajanawa_waterfall.jpg
Rambadagalla monaragala temple,attraction,Kurunagela,0.0,Moderate,N/A,Rambadagalla monaragala temple located in Kurunagela.,data/images/rambadagalla_monaragala_temple.jpg
Rangala natural pool,attraction,Matale,0.0,Moderate,N/A,Rangala natural pool located in Matale.,data/images/rangala_natural_pool.jpg
Rathnapura National Museum,attraction,Rathnapura,0.0,Moderate,N/A,Rathnapura National Museum located in Rathnapura.,data/images/rathnapura_national_museum.jpg
Ratnapura,attraction,Ratnapura,0.0,Moderate,N/A,"Nearby Accommodation: BOULDER GARDEN (Boutique Hotels), TAPPERS VILLAGE ESTATE BANGALOW (Bangalows), BELPEAK COTTAGE (Bangalows)",data/images/ratnapura.jpg
Ravan Ella Waterfall,attraction,Badulla,0.0,Moderate,N/A,Ravan Ella Waterfall located in Badulla.,data/images/ravan_ella_waterfall.jpg
Ravana Waterfall,attraction,Badulla,0.0,Moderate,N/A,Ravana Waterfall located in Badulla.,data/images/ravana_waterfall.jpg
Ravana's Cave,attraction,Badulla,0.0,Moderate,N/A,Ravana's Cave located in Badulla.,data/images/ravanas_cave.jpg
Rekawa Turtle Beach,attraction,Hambantota,0.0,Moderate,N/A,Rekawa Turtle Beach located in Hambantota.,data/images/rekawa_turtle_beach.jpg
Richmond Castle,attraction,Kalutara,0.0,Moderate,N/A,Richmond Castle located in Kalutara.,data/images/richmond_castle.jpg
Ridiyagama Safari Park,attraction,Hambantota,0.0,Moderate,N/A,Ridiyagama Safari Park located in Hambantota.,data/images/ridiyagama_safari_park.jpg
Riverston,attraction,Matale,0.0,Moderate,N/A,Riverston located in Matale.,data/images/riverston.jpg
Rukmani Devi Park,attraction,Gampaha,0.0,Moderate,N/A,Rukmani Devi Park located in Gampaha.,data/images/rukmani_devi_park.jpg
Rumassala Sanctuary,attraction,Galle,0.0,Moderate,N/A,Rumassala Sanctuary located in Galle.,data/images/rumassala_sanctuary.jpg
Rumassala South Beach,attraction,Galle,0.0,Moderate,N/A,Rumassala South Beach located in Galle.,data/images/rumassala_south_beach.jpg
"Sam Tours and Taxi, Hambantota, Sri Lanka",attraction,Hambantota,0.0,Moderate,N/A,"Sam Tours and Taxi, Hambantota, Sri Lanka located in Hambantota.","data/images/sam_tours_and_taxi,_hambantota,_sri_lanka.jpg"
Sambodhi Pagoda,attraction,colombo,0.0,Moderate,N/A,Sambodhi Pagoda located in colombo.,data/images/sambodhi_pagoda.jpg
Saniro Dream Paradise,attraction,Gampaha,0.0,Moderate,N/A,Saniro Dream Paradise located in Gampaha.,data/images/saniro_dream_paradise.jpg
Sathutu Uyana,attraction,colombo,0.0,Moderate,N/A,Sathutu Uyana located in colombo.,data/images/sathutu_uyana.jpg
Sea corner,attraction,Kalmunai,0.0,Moderate,N/A,Sea corner located in Kalmunai.,data/images/sea_corner.jpg
Sembuwatta lake,attraction,Matale,0.0,Moderate,N/A,Sembuwatta lake located in Matale.,data/images/sembuwatta_lake.jpg
Sera ella water falls,attraction,Matale,0.0,Moderate,N/A,Sera ella water falls located in Matale.,data/images/sera_ella_water_falls.jpg
Shanthipura view point,attraction,Hatton,0.0,Moderate,N/A,Shanthipura view point located in Hatton.,data/images/shanthipura_view_point.jpg
Sigiriya Rock Fortress,historical sites,Matale,1200.0,Easy,Moderate,"Sigiriya is an ancient rock fortress featuring ancient frescoes, lion paw entrances, and landscaped gardens.",data/images/sigiriya.jpg
Single tree hill,attraction,Hatton,0.0,Moderate,N/A,Single tree hill located in Hatton.,data/images/single_tree_hill.jpg
Siri Gautama Sambuddharaja maligawa,attraction,Kurunagela,0.0,Moderate,N/A,Siri Gautama Sambuddharaja maligawa located in Kurunagela.,data/images/siri_gautama_sambuddharaja_maligawa.jpg
Sk Town Beach,attraction,Matara,0.0,Moderate,N/A,Sk Town Beach located in Matara.,data/images/sk_town_beach.jpg
Snake Farm Weligama (Traditional Farm),attraction,Matara,0.0,Moderate,N/A,Snake Farm Weligama (Traditional Farm) located in Matara.,data/images/snake_farm_weligama_(traditional_farm).jpg
Sri Kailawasanathan Swami Devasthanam Kovil,attraction,colombo,0.0,Moderate,N/A,Sri Kailawasanathan Swami Devasthanam Kovil located in colombo.,data/images/sri_kailawasanathan_swami_devasthanam_kovil.jpg
Sri Lanka Planetarium,attraction,colombo,0.0,Moderate,N/A,Sri Lanka Planetarium located in colombo.,data/images/sri_lanka_planetarium.jpg
Sri Maha Viharaya,attraction,Rathnapura,0.0,Moderate,N/A,Sri Maha Viharaya located in Rathnapura.,data/images/sri_maha_viharaya.jpg
Sri Sudharmalaya buddhistst Temple,attraction,Galle,0.0,Moderate,N/A,Sri Sudharmalaya buddhistst Temple located in Galle.,data/images/sri_sudharmalaya_buddhistst_temple.jpg
Sri Sumana Saman Devalaya,attraction,Rathnapura,0.0,Moderate,N/A,Sri Sumana Saman Devalaya located in Rathnapura.,data/images/sri_sumana_saman_devalaya.jpg
Sri muththumari amman kovil,attraction,Matale,0.0,Moderate,N/A,Sri muththumari amman kovil located in Matale.,data/images/sri_muththumari_amman_kovil.jpg
"St. Anthony's Shrine, Kochchikade",attraction,colombo,0.0,Moderate,N/A,"St. Anthony's Shrine, Kochchikade located in colombo.","data/images/st._anthonys_shrine,_kochchikade.jpg"
St. Lucia's Cathedral,attraction,colombo,0.0,Moderate,N/A,St. Lucia's Cathedral located in colombo.,data/images/st._lucias_cathedral.jpg
St. Mary's Cathedral,attraction,Galle,0.0,Moderate,N/A,St. Mary's Cathedral located in Galle.,data/images/st._marys_cathedral.jpg
Star Fort Matara,attraction,Matara,0.0,Moderate,N/A,Star Fort Matara located in Matara.,data/images/star_fort_matara.jpg
Swarnagiri maha viharaya,attraction,Hatton,0.0,Moderate,N/A,Swarnagiri maha viharaya located in Hatton.,data/images/swarnagiri_maha_viharaya.jpg
"TURTLE POINT BATHEEGAMA, DiCKWELLA.",attraction,Matara,0.0,Moderate,N/A,"TURTLE POINT BATHEEGAMA, DiCKWELLA. located in Matara.","data/images/turtle_point_batheegama,_dickwella..jpg"
Thalangama Lake,attraction,colombo,0.0,Moderate,N/A,Thalangama Lake located in colombo.,data/images/thalangama_lake.jpg
The Palm Rope Swing,attraction,Matara,0.0,Moderate,N/A,The Palm Rope Swing located in Matara.,data/images/the_palm_rope_swing.jpg
The Shrine of Our Lady of Matara,attraction,Matara,0.0,Moderate,N/A,The Shrine of Our Lady of Matara located in Matara.,data/images/the_shrine_of_our_lady_of_matara.jpg
Themali kaan waterfalls,attraction,Matale,0.0,Moderate,N/A,Themali kaan waterfalls located in Matale.,data/images/themali_kaan_waterfalls.jpg
Thepulangoda Waterfall,attraction,Rathnapura,0.0,Moderate,N/A,Thepulangoda Waterfall located in Rathnapura.,data/images/thepulangoda_waterfall.jpg
To Sripada,attraction,Rathnapura,0.0,Moderate,N/A,To Sripada located in Rathnapura.,data/images/to_sripada.jpg
Torington park,attraction,colombo,0.0,Moderate,N/A,Torington park located in colombo.,data/images/torington_park.jpg
Trincomalee,attraction,Trincomalee,0.0,Moderate,N/A,"Nearby Accommodation: SILVER BEACH HOTEL (Bangalows), HOTEL OCEAN PARK (Bangalows), RAMANATHAN COTTAGE (Bangalows)",data/images/trincomalee_boat.jpg
Turtle Bay Activity Center,attraction,Matara,0.0,Moderate,N/A,Turtle Bay Activity Center located in Matara.,data/images/trincomalee_beach.jpg
Udammita Ambalama,attraction,Gampaha,0.0,Moderate,N/A,Udammita Ambalama located in Gampaha.,data/images/udammita_ambalama.jpg
Upper Rawana,attraction,Badulla,0.0,Moderate,N/A,Upper Rawana located in Badulla.,data/images/upper_rawana.jpg
Upper kothmale reserovir view point,attraction,Hatton,0.0,Moderate,N/A,Upper kothmale reserovir view point located in Hatton.,data/images/upper_kothmale_reserovir_view_point.jpg
Uva Halpewatte Tea Factory Tour,attraction,Badulla,0.0,Moderate,N/A,Uva Halpewatte Tea Factory Tour located in Badulla.,data/images/uva_halpewatte_tea_factory_tour.jpg
V.T. Nanayakkara park,attraction,Matale,0.0,Moderate,N/A,V.T. Nanayakkara park located in Matale.,data/images/v.t._nanayakkara_park.jpg
Vavuniya,attraction,Vavuniya,0.0,Moderate,N/A,"Nearby Accommodation: HOTEL NELLY (Classified Hotels( 1-5 Star)), ROYAL GARDEN GUEST HOUSE (Guest Houses), THAMPA TOURIST HOTEL & INN (Guest Houses)",data/images/vavuniya.jpg
Viharamahadevi Park,attraction,colombo,0.0,Moderate,N/A,Viharamahadevi Park located in colombo.,data/images/viharamahadevi_park.jpg
Wadakada ella falls,attraction,Kurunagela,0.0,Moderate,N/A,Wadakada ella falls located in Kurunagela.,data/images/wadakada_ella_falls.jpg
Waranagala waterfall,attraction,Rathnapura,0.0,Moderate,N/A,Waranagala waterfall located in Rathnapura.,data/images/waranagala_waterfall.jpg
Weherahena Poorwarama Rajamaha Viharaya,attraction,Matara,0.0,Moderate,N/A,Weherahena Poorwarama Rajamaha Viharaya located in Matara.,data/images/weherahena_poorwarama_rajamaha_viharaya.jpg
Weligama Beach (surf spot),attraction,Matara,0.0,Moderate,N/A,Weligama Beach (surf spot) located in Matara.,data/images/weligama_beach_(surf_spot).jpg
Wewala waterfall,attraction,Kurunagela,0.0,Moderate,N/A,Wewala waterfall located in Kurunagela.,data/images/wewala_waterfall.jpg
Wewurukannala Buduraja Maha Viharaya,attraction,Matara,0.0,Moderate,N/A,Wewurukannala Buduraja Maha Viharaya located in Matara.,data/images/wewurukannala_buduraja_maha_viharaya.jpg
Windy corner falls,attraction,Hatton,0.0,Moderate,N/A,Windy corner falls located in Hatton.,data/images/windy_corner_falls.jpg
Wirawila Tissa Sanctuary,attraction,Hambantota,0.0,Moderate,N/A,Wirawila Tissa Sanctuary located in Hambantota.,data/images/wirawila_tissa_sanctuary.jpg
Yakdessagala mountain,attraction,Kurunagela,0.0,Moderate,N/A,Yakdessagala mountain located in Kurunagela.,data/images/yakdessagala_mountain.jpg
Yala National Park,wildlife,Hambantota,2500.0,Easy,Easy,"Yala National Park is famous for high leopard densities, elephants, and diverse bird species in dry zone forest.",data/images/yala.jpg
Yapahuwa rock fortress,attraction,Kurunagela,0.0,Moderate,N/A,Yapahuwa rock fortress located in Kurunagela.,data/images/yapahuwa_rock_fortress.jpg
Yatagala Raja Maha Viharaya,attraction,Galle,0.0,Moderate,N/A,Yatagala Raja Maha Viharaya located in Galle.,data/images/yatagala_raja_maha_viharaya.jpg
Yatala Dalada Wehera,attraction,Hambantota,0.0,Moderate,N/A,Yatala Dalada Wehera located in Hambantota.,data/images/yatala_dalada_wehera.jpg
colombo Natational Museum,attraction,colombo,0.0,Moderate,N/A,colombo Natational Museum located in colombo.,data/images/colombo_natational_museum.jpg
colombo Port Maritime Museum,attraction,colombo,0.0,Moderate,N/A,colombo Port Maritime Museum located in colombo.,data/images/colombo_port_maritime_museum.jpg
colombo Port Old Lighthouse,attraction,colombo,0.0,Moderate,N/A,colombo Port Old Lighthouse located in colombo.,data/images/colombo_port_old_lighthouse.jpg
kalido beach kalutara,attraction,Kalutara,0.0,Moderate,N/A,kalido beach kalutara located in Kalutara.,data/images/kalido_beach_kalutara.jpg
